Event	Amount		Date	Balance
Create	$10000		12/14/15	$10000
Buy	1137.93		12/14/15	$8862.07
Buy	1137.93		12/14/15	$7724.14
Buy	1137.93		12/14/15	$6586.22
Buy	1137.93		12/14/15	$5448.29
Buy	1137.93		12/14/15	$4310.36
Buy	1137.93		12/14/15	$3172.43
Buy	1137.93		12/14/15	$2034.50
Buy	1137.93		12/14/15	$896.58
Buy	46.14		12/14/15	$850.44
Sell	5689.64		12/14/15	$6540.08
Deposit	200.00		12/14/15	$6740.08
Draw	300.00		12/14/15	$6440.08
Buy	202.00		12/14/15	$6238.08
Buy	849.20		12/14/15	$5388.88
Buy	172.20		12/14/15	$5216.68
Buy	2844.82		12/14/15	$2371.86
Buy	153.10		12/14/15	$2218.76
Sell	568.96		12/14/15	$2787.72
Deposit	1000.00		12/14/15	$3787.72
Draw	1000.00		12/14/15	$2787.72
