Event	CompSym	Number	SharePrice	Total	time
Buy	GOOG	2	569.96		1139.93	11:04:03
Buy	GOOG	2	568.96		1137.93	11:04:22
Buy	GOOG	2	568.96		1137.93	11:04:22
Buy	GOOG	2	568.96		1137.93	11:04:22
Buy	GOOG	2	568.96		1137.93	11:04:22
Buy	GOOG	2	568.96		1137.93	11:04:22
Buy	GOOG	2	568.96		1137.93	11:04:22
Buy	GOOG	2	568.96		1137.93	11:04:22
Buy	YHOO	3	16.38		49.14	11:04:44
Sell	GOOG	10	568.96		5689.64	11:06:11
Buy	FNM	100	2.02		202.00	11:08:09
Buy	JPM	20	41.46		829.20	11:08:25
Buy	JAVA	20	8.61		172.20	11:08:50
Buy	GOOG	5	568.96		2844.82	11:13:21
Buy	MSFT	5	30.62		153.10	11:14:00
Sell	GOOG	1	569.96		569.96	11:14:27
